RIC I (second edition) Gaius/Caligula 28	http://numismatics.org/ocre/id/ric.1(2).gai.28	40	40	C CAESAR AVG PON M TR POT III COS III	S P Q R PP OB CS	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 49	http://numismatics.org/ocre/id/ric.1(2).gai.49	40	41	NERO ET DRUSUS CAESARES	C CAESAR DIVI AVG PRON AVG P M TR POT III P P	Caligula	3	https://godot.date/id/6EddQFdoN6oNKc4wa3YsxZ
RIC I (second edition) Gaius/Caligula 30	http://numismatics.org/ocre/id/ric.1(2).gai.30	41	41	C CAESAR AVG PON M TR POT IIII COS IIII	AGRIPPINA MAT C CAES AVG GERM	Caligula	4	https://godot.date/id/x5iuxhzV9NMMsiYemejPk3
RIC I (second edition) Gaius/Caligula 31	http://numismatics.org/ocre/id/ric.1(2).gai.31	41	41	C CAESAR AVG PON M TR POT IIII COS IIII	DIVVS AVG PATER PATRIAE	Caligula	4	https://godot.date/id/x5iuxhzV9NMMsiYemejPk3
RIC I (second edition) Nero 263	http://numismatics.org/ocre/id/ric.1(2).ner.263	64	68	NERO CAESAR AVG IMP TR POT XI P P P	PACE P R TERRA MARIQ PARTA IANVM CLVSIT S C	Nero	11	https://godot.date/id/ptkyoj4dbNWyisxh5xU98c
RIC I (second edition) Nero 272	http://numismatics.org/ocre/id/ric.1(2).ner.272	64	68	NERO CAESAR AVG IMP TR POT XI P P P	ROMA S C	Nero	11	https://godot.date/id/ptkyoj4dbNWyisxh5xU98c
RIC II, Part 1 (second edition) Vespasian 472	http://numismatics.org/ocre/id/ric.2_1(2).ves.472	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	CAESAR DOMITIAN COS DES II S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 473	http://numismatics.org/ocre/id/ric.2_1(2).ves.473	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 474	http://numismatics.org/ocre/id/ric.2_1(2).ves.474	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 475	http://numismatics.org/ocre/id/ric.2_1(2).ves.475	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 476	http://numismatics.org/ocre/id/ric.2_1(2).ves.476	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 477	http://numismatics.org/ocre/id/ric.2_1(2).ves.477	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 478	http://numismatics.org/ocre/id/ric.2_1(2).ves.478	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 479	http://numismatics.org/ocre/id/ric.2_1(2).ves.479	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 480	http://numismatics.org/ocre/id/ric.2_1(2).ves.480	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	CONCOR AVG S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 481	http://numismatics.org/ocre/id/ric.2_1(2).ves.481	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	CONCORDIA AVGVSTI S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 482	http://numismatics.org/ocre/id/ric.2_1(2).ves.482	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	FELICITAS PVBLICA S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 483	http://numismatics.org/ocre/id/ric.2_1(2).ves.483	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	ROMA VICTRIX S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 484	http://numismatics.org/ocre/id/ric.2_1(2).ves.484	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	FIDES PVBLICA S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 485	http://numismatics.org/ocre/id/ric.2_1(2).ves.485	72	72	T CAESAR VESPASIAN IMP PON TR POT II COS II	VICTORIA AVGVSTI S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 486	http://numismatics.org/ocre/id/ric.2_1(2).ves.486	72	72	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	CAESAR DOMITIAN COS DES II S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 487	http://numismatics.org/ocre/id/ric.2_1(2).ves.487	72	72	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	CAESAR DOMITIAN COS DES II S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 495	http://numismatics.org/ocre/id/ric.2_1(2).ves.495	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	IVDAEA CAPTA S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 496	http://numismatics.org/ocre/id/ric.2_1(2).ves.496	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	PAX AVGVSTI S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 497	http://numismatics.org/ocre/id/ric.2_1(2).ves.497	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 498	http://numismatics.org/ocre/id/ric.2_1(2).ves.498	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 499	http://numismatics.org/ocre/id/ric.2_1(2).ves.499	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 500	http://numismatics.org/ocre/id/ric.2_1(2).ves.500	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 501	http://numismatics.org/ocre/id/ric.2_1(2).ves.501	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	VICTORIA AVGVSTI S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 502	http://numismatics.org/ocre/id/ric.2_1(2).ves.502	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	VICTORIA AVGVSTI S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 503	http://numismatics.org/ocre/id/ric.2_1(2).ves.503	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	CONCOR AVG S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 504	http://numismatics.org/ocre/id/ric.2_1(2).ves.504	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	FELICITAS PVBLICA S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 505	http://numismatics.org/ocre/id/ric.2_1(2).ves.505	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	ROMA S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 506	http://numismatics.org/ocre/id/ric.2_1(2).ves.506	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	ROMA VICTRIX S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 507	http://numismatics.org/ocre/id/ric.2_1(2).ves.507	72	73	T CAESAR VESPASIAN IMP IIII PON TR POT II COS II	FELICITAS PVBLICA S C	Vespasian	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
RIC II, Part 1 (second edition) Vespasian 562	http://numismatics.org/ocre/id/ric.2_1(2).ves.562	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	IVDAEA CAPTA S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 563	http://numismatics.org/ocre/id/ric.2_1(2).ves.563	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 564	http://numismatics.org/ocre/id/ric.2_1(2).ves.564	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 565	http://numismatics.org/ocre/id/ric.2_1(2).ves.565	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	VICTORIA AVGVSTI S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
